id,numeroPortariaAlterada,anoPortariaAlterada,situacao,alteracoes,rawAlteracao
a5addaa8-069e-4137-8f29-79a7670a6a9a,CPV.0028,2022,vigente,null,"vigente"
d631af13-ecdb-4ea9-add3-22dba7dfd404,CPV.0071,2022,vigente,null,"vigente"
8d70c5a9-8873-4112-88df-1860557f2f16,CPV.0111,2022,vigente,null,"vigente"
1b9f8187-7214-442b-9106-cc4d66f8e0cc,CPV.0110,2022,vigente,null,"vigente"
3058a738-fc25-4ee5-b1a3-0225b9924864,CPV.0105,2022,vigente,null,"vigente"
e34b9bb8-4833-4ff4-841d-3e2e3e9beda9,CPV.0026,2022,alterada,null,"alterada"
ab67983d-08db-4a33-a967-a85be3fc4be7,CPV.0059,2022,alterada,null,"alterada"
8e5bcce3-d848-43b0-9458-0455b9a58724,CPV.0128,2022,vigente,null,"vigente"
13092067-e0e4-460a-8b30-9df4d88490fc,CPV.0029,2022,vigente,null,"vigente"
0ed19490-ebe0-4bac-b222-0b2fa2ff3ba8,CPV.0135,2023,vigente,null,"vigente"
95fe586d-9266-4dac-b5f2-8a9794ee20ee,CPV.0020,2023,alterada,null,"alterada"
ffca14a2-f11c-4faf-961b-8dc32c532951,CPV.0037,2022,vigente,null,"vigente"
166ed9e1-bbc1-4957-b69a-9f604a6f38d2,CPV.0098,2022,alterada,null,"alterada"
64d5914f-1a9c-4ab4-83cb-cbd064f67f1f,CPV.0024,2023,vigente,null,"vigente"
446c97b7-9cad-4c1a-bfb1-e6d022f0e977,CPV.0022,2023,alterada,null,"alterada"
d2a88969-0961-4443-b0cc-4dc7cc87611b,CPV.0115,2022,alterada,null,"alterada"
a9ab8768-7126-473f-af80-5d2e1291a54d,CPV.0022,2022,alterada,null,"alterada"
3cf68254-d0b3-453a-b3f8-47efc317458d,CPV.0103,2022,alterada,null,"alterada"
cae0d9b0-0b29-4d4c-9358-6e74f7e8d20c,CPV.0130,2022,vigente,null,"vigente"
5ef99bf8-96a1-42a7-845d-1d31dc81d377,CPV.0033,2023,vigente,null,"vigente"
63716140-d1c4-4f6b-852d-2370b0deb7b1,CPV.0010,2023,alterada,null,"alterada"
98e79d74-91f0-4197-9472-d0225f6dc053,CPV.0045,2023,vigente,null,"vigente"
f748e295-1d98-4258-b294-084736d7d64c,CPV.0049,2023,vigente,null,"vigente"
0016c6be-a666-4096-bb3d-d76e3f61ac55,CPV.0016,2023,vigente,null,"vigente"
7102b19e-e3d9-47e7-9158-9fe5b9009e34,CPV.0127,2022,alterada,null,"alterada"
5ac90a9a-d949-4582-9a69-cbc4662895b1,CPV.0078,2023,vigente,null,"vigente"
2a1eafec-23ea-4e7c-ac4e-b8a26edb3472,CPV.0091,2022,vigente,null,"vigente"
a054658c-8296-4a4a-98cc-85d190b12bfa,CPV.0102,2022,vigente,null,"vigente"
8dae80f6-5e9f-44d1-90d4-2a3852b6865e,CPV.0112,2022,vigente,null,"vigente"
ee167fd1-fa68-4780-b70d-e32b908e0818,CPV.0011,2023,vigente,null,"vigente"
6548fa22-6600-4392-9a9f-cbd29a36e567,CPV.0114,2022,vigente,null,"vigente"
fdda5ffd-a981-4fb6-a369-b148d59bea7e,CPV.0077,2023,vigente,null,"vigente"
2d25394b-7c97-46d3-8198-ca3c135292bd,CPV.0084,2023,vigente,null,"vigente"
6a8751fd-7c94-4e58-b99b-319710c5071b,CPV.0031,2023,vigente,null,"vigente"
518e5ce0-55d5-4398-ae84-863ff8cf75b8,CPV.0093,2022,vigente,null,"vigente"
3be2c63e-e528-4bf2-b471-3c24dcf77ee5,CPV.0129,2022,vigente,null,"vigente"
db01ba96-539d-48f5-9f57-e097d0eb3907,CPV.0103,2023,vigente,null,"vigente"
f828b2cb-bc21-46e3-9cf0-a1ab9481d6a6,CPV.0039,2022,alterada,null,"alterada"
b1c165f7-8415-436e-bbc8-68931a55e802,CPV.0017,2023,alterada,null,"alterada"
1d858b41-c7d8-4884-9906-d50b0900bde9,CPV.0101,2023,vigente,null,"vigente"
83407f3b-b08e-43ee-84c9-f08a2df80184,CPV.0125,2022,vigente,null,"vigente"
8f8c0f99-4464-4f7c-b154-f2229cbe4fa2,CPV.0023,2023,alterada,null,"alterada"
ed50c961-dd35-43c6-b059-5334254ae7ae,CPV.0116,2023,vigente,null,"vigente"
04cbe1e1-713b-4c16-8cf1-579d2106aee2,CPV.0048,2023,vigente,null,"vigente"
e3772581-8bb8-45d6-8a99-ced6bf2f387d,CPV.0102,2023,alterada,null,"alterada"
6442d949-3ff7-4370-8a72-b9e8461ba305,CPV.0117,2022,vigente,null,"vigente"
0f7f6607-6c16-4a8c-b077-2373d1b83b16,CPV.0090,2023,vigente,null,"vigente"
ac483ebe-440c-4ead-ad3f-7cfe90e02b44,CPV.0074,2023,alterada,null,"alterada"
71d13fb2-70a2-4a6d-b1e7-9b62336fbb80,CPV.0043,2022,vigente,null,"vigente"
c3e8ecdd-0e9d-420a-ad17-67cdfcd41653,CPV.0025,2023,vigente,null,"vigente"
910ab168-02b9-47ce-8e8d-b26b01342667,CPV.0125,2023,vigente,null,"vigente"
6d69e1e2-20da-4cc4-b1f9-4503d5cd7fc9,CPV.0133,2023,vigente,null,"vigente"
7a51ec72-de49-4cc8-ac36-f38c1f17db58,CPV.0128,2023,vigente,null,"vigente"
16b37b35-fb94-44e6-972a-4a7e73e1a3d1,CPV.0118,2023,vigente,null,"vigente"
308e0f73-a4f6-478c-ae32-39638734054e,CPV.0041,2023,vigente,null,"vigente"
