numero,publicacao,assunto,classificacao,permanente,situacao,validade,servidores,alteracao,link
CPV.0032,03/25/2022,Trata da Designação dos membros da Brigada de Incêndio do IFSP – Câmpus Capivari.,C,T,retificada pela portaria 33/2022,sem mandato expresso,Vitor Brandi Junior; Luís Eduardo Pais dos Santos; Caio Hamamura; Cleidson Santiago de Oliveira;  Gilberto Bulgraen Junior;André Castilho Garcia;Antonio Carlos da Silva Bomfim;Carolina Marocco Corneta;Elielma de Araújo Prazeres;Gustavo Baptistella Leite da Silva;Izabel Maria Barral Teixeira;Mayumi Silva Kawamoto;Micael Douglas Diniz;Pedro William Simões de Oliveira;Renan Giollo Francisco;Tiago José Berg;Washington Ernando Pereira Benício,Revoga CPV.25/2022,"https://drive.google.com/file/d/1quN_yrPj5b7HZrqEzrtWLuV4C0ApaNyM/view?usp=sharing"
CPV.0048,05/02/2022,Trata  da  designação  dos  membros para o Centro Multidisciplinar de Pesquisa e Inovação em Efluentes e Resíduos Sólidos do  IFSP – Câmpus Capivari,C,T,retificada pela portaria 51/2022,sem mandato expresso,"André Luís de Castro Peixoto, Gislaine Vieira Damiani, Mateus Nordi Esperança",,"https://drive.google.com/file/d/168dILNXH6J3OG6GdWyN7f4tME8NDxeF8/view?usp=sharing"
CPV.0051,05/04/2022,"Trata da Retificação da Portaria nº 48/2022- DRG/CPV/IFSP, de 02 de maio de 2022.",R,,retificação,,,Retifica CPV.48/2022,"https://drive.google.com/file/d/1TaCcHTUiBA1lM9-Mp_5H9osn9JTMG2vM/view?usp=sharing"
CPV.0072,06/28/2022,Trata da designação dos membros do Colegiado do Curso de Pós-Graduação Lato Sensu em Tecnologia da  Informação e Comunicação na Educação do IFSP- Câmpus Capivari.,P,,Retificada pela portaria 80/2022,7/4/2023,Carlos Fernando Barboza da Silva; Érica Maio Taveira Grande; Ione Arsenio da Silva; Tiago Pellim da Silva; Gianna Andréia Ferreira Gobbi Spadote; Marcos Jailson Costa Silva,Revoga 56/2022,"https://drive.google.com/file/d/1l2-JCxeqLx_JUvF6TgajgwGUhKLSKpiB/view?usp=sharing"
CPV.0108,08/30/2022,Trata da Designação da Função de Apoio à Gestão FAG – Coordenador do Curso de Pós-Graduação Gestão Lato Sensu em Ciência e Matemática ,C,T,retificada pela portaria 109/2022,sem mandato expresso,Francisco Márcio Barbosa Teixeira,Revoga 225/2021,"https://drive.google.com/file/d/1xn4C8qgXbD8yCTcdEOMAzLCYiOV4uXn8/view?usp=sharing"
CPV.0109,08/30/2022,"Trata da Retificação da Portaria nº 108/2022 - DRG/CPV/IFSP, de 30 de agosto de 2022,",R,,retificação,,,Retifica 108/2022,""
CPV.0121,10/10/2022,Trata da retificação da Portaria 98/2022,R,,retificação,,Maria Elisa de Castro Almeida; Aderbal Almeida Rocha; Alexandre Camargo Maia; André Valente de Barros Barreto; Beatriz Simonaio Birelli Falco; Carolina Marocco Corneta; Cleidson Santiago de Oliveira; Felipe de Paula Góis Vieira; Flávio Henrique Ferraresi; Gianna Andréia Ferreira Gobbi Spadote; Lorena Faria; Luís Eduardo Pais dos Santos; Roberto Bineli Muterle; Sheila Pasqualotto.,Altera Port. 98/2022.,"https://drive.google.com/file/d/1zbxlabJLxWf3CCIo2EiAd5pEVbV3XDVE/view?usp=sharing"
CPV.0123,10/31/2022,Trata da designação da Comissão para acompanhamento do processo 23430.002213.2022-25 do IFSP-Câmpus Capivari,C,T,Retificada pela portaria 124/2022,sem mandato expresso,"Luciana Marins gatti, Cesar Eduardo Armelin",,"https://drive.google.com/file/d/17RXZavXXkoOYrOFQfzszrRSOTOZKfVOc/view?usp=share_link"
CPV.0124,11/09/2022,"Trata da Retificação da Portaria nº 123/2022 - DRG/CPV/IFSP, de 31 de outubro de 2022,",R,,retificação,,,Retifica 123/2022,"https://drive.google.com/file/d/1wjktoLbjm8yNTy_W7rIh0TuefWqGT5Ij/view?usp=share_link"
CPV.0138,12/26/2022,Trata da designação dos fiscais do Contrato 11.712/2022 referente a Dispensa 26.712/2022 do IFSP-Câmpus Capivari ,C,T,vigente,"até o vencimento do contrato e de sua garantia, quando houver.","Valdir Antonio Vitorino Filho, Meire Ramalho de Oliveira",,""
